VB;Lat;Lon;Naam
ST1;51.279612;4.054075;Hulst
ST2;51.291177;4.061759;
ST3;51.288667;4.050374;
ST4;51.285336;4.065929;
ST5;51.267646;4.090827;Clinge
ST6;51.293080;4.160517;Nieuw-Namen
ST7;51.329115;4.104691;Graauw
ST8;51.251682;4.022973;Sint Jansteen
ST9;51.259931;4.050373;Heikant
ST10;51.368374;4.013823;Kloosterzande
ST11;51.343355;4.055031;Lamswaarde
ST12;51.316449;4.037728;Terhole
ST13;51.325571;3.978103;Vogelwaarde
ST14;51.388122;3.980950;Ossenisse
ST15;51.343504;3.994862;Hengstdijk
