gwb_code_10;gwb_code_8;regio;gm_naam;recs;gwb_code;ind_wbi;a_inw;a_man;a_vrouw;a_00_14;a_15_24;a_25_44;a_45_64;a_65_oo;a_ongeh;a_gehuwd;a_gesch;a_verwed;a_w_all;a_nw_all;a_marok;a_antaru;a_suri;a_tur;a_ov_nw;a_geb;p_geb;a_ste;p_ste;a_hh;a_1p_hh;a_hh_z_k;a_hh_m_k;g_hhgro;bev_dich;a_woning;g_woz;p_1gezw;p_mgezw;p_bewndw;p_leegsw;p_koopw;p_huurw;p_wcorpw;p_ov_hw;p_e_o_w;p_bjj2k;p_bjo2k;g_ele;g_ele_ap;g_ele_tw;g_ele_hw;g_ele_2w;g_ele_vw;g_ele_hu;g_ele_ko;g_gas;g_gas_ap;g_gas_tw;g_gas_hw;g_gas_2w;g_gas_vw;g_gas_hu;g_gas_ko;p_stadsv;a_inkont;g_ink_po;g_ink_pi;p_ink_li;p_ink_hi;p_n_act;p_hh_li;p_hh_hi;p_hh_lkk;p_hh_osm;a_soz_wb;a_soz_ao;a_soz_ww;a_soz_ow;g_wodief;g_vernoo;g_gewsek;a_bedv;a_bed_a;a_bed_bf;a_bed_gi;a_bed_hj;a_bed_kl;a_bed_mn;a_bed_ru;a_pau;a_bst_b;a_bst_nb;g_pau_hh;g_pau_km;a_m2w;g_afs_hp;g_afs_gs;g_afs_kv;g_afs_sc;g_3km_sc;a_opp_ha;a_lan_ha;a_wat_ha;pst_mvp;pst_dekp;ste_mvs;ste_oad
WK067701;067701;Wijk 01 Hulst;Hulst;Wijk;WK067701;1;10935;5295;5635;1435;1030;2205;3280;2985;4305;4845;990;800;2455;330;35;10;20;15;240;.;.;.;.;5180;1840;1840;1505;2,1;416;5426;.;82;18;.;.;.;.;.;.;.;79;21;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;6285;5380;905;1,2;239;370;.;.;.;.;.;2709;2626;83;.;.;4;822
WK067702;067702;Wijk 02 St. Jansteen;Hulst;Wijk;WK067702;1;3175;1595;1580;440;300;685;1065;685;1265;1495;250;165;850;120;10;0;0;15;85;.;.;.;.;1430;450;525;460;2,2;385;1469;.;93;7;.;.;.;.;.;.;.;95;5;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1800;1560;240;1,3;218;130;.;.;.;.;.;827;825;1;.;.;5;485
WK067703;067703;Wijk 03 Clinge;Hulst;Wijk;WK067703;1;2335;1200;1130;280;250;465;840;505;1040;1005;160;135;915;70;5;0;0;0;50;.;.;.;.;965;295;335;340;2,2;222;1061;.;96;4;.;.;.;.;.;.;.;92;8;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1250;1050;200;1,3;118;125;.;.;.;.;.;1059;1053;6;.;.;5;286
WK067704;067704;Wijk 04 Grauw;Hulst;Wijk;WK067704;1;975;515;460;120;90;200;340;225;375;490;75;45;290;15;0;0;0;0;15;.;.;.;.;450;145;185;125;2,2;42;541;.;99;1;.;.;.;.;.;.;.;91;9;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;595;490;105;1,3;26;55;.;.;.;.;.;2352;2326;26;.;.;5;80
WK067705;067705;Wijk 05 Heikant;Hulst;Wijk;WK067705;1;1110;555;555;150;110;230;405;215;430;550;75;60;335;15;0;0;0;0;10;.;.;.;.;495;130;205;165;2,2;170;513;.;100;0;.;.;.;.;.;.;.;87;13;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;685;580;105;1,4;105;50;.;.;.;.;.;658;655;3;.;.;5;123
WK067706;067706;Wijk 06 Nieuw Namen;Hulst;Wijk;WK067706;1;995;495;500;150;100;225;330;185;410;465;80;50;625;30;0;0;0;0;30;.;.;.;.;445;140;140;170;2,2;20;510;.;97;3;.;.;.;.;.;.;.;89;11;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;525;425;95;1,2;11;40;.;.;.;.;.;5010;4972;38;.;.;5;123
WK067707;067707;Wijk 07 Kapellebrug;Hulst;Wijk;WK067707;1;320;175;145;45;25;60;110;80;135;155;20;15;120;5;0;0;0;0;0;.;.;.;.;135;35;60;50;2,3;506;140;.;99;1;.;.;.;.;.;.;.;89;11;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;240;185;55;1,7;376;30;.;.;.;.;.;64;64;0;.;.;5;118
WK067708;067708;Wijk 08 Kloosterzande;Hulst;Wijk;WK067708;1;3325;1625;1695;450;305;665;1025;880;1290;1515;235;290;390;90;0;0;0;5;75;.;.;.;.;1535;515;560;460;2,1;248;1659;.;93;7;.;.;.;.;.;.;.;89;11;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1915;1645;270;1,2;143;130;.;.;.;.;.;1365;1342;22;.;.;5;392
WK067709;067709;Wijk 09 Lamswaarde;Hulst;Wijk;WK067709;1;885;475;405;130;65;210;330;150;360;430;70;30;160;40;0;0;0;0;35;.;.;.;.;400;120;160;125;2,2;58;450;.;99;1;.;.;.;.;.;.;.;89;11;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;565;470;95;1,4;37;55;.;.;.;.;.;1527;1515;11;.;.;5;62
WK067710;067710;Wijk 10 Ter Hole;Hulst;Wijk;WK067710;1;480;250;230;55;50;90;175;110;190;235;35;20;110;5;0;0;0;0;5;.;.;.;.;225;80;85;65;2,1;87;235;.;99;1;.;.;.;.;.;.;.;94;6;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;300;260;40;1,3;54;25;.;.;.;.;.;553;551;1;.;.;5;53
