1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119
WK067701;67701;Wijk 01 Hulst;Hulst;Wijk;WK067701;1;10695;5165;5525;1490;975;2245;3260;2725;4135;4825;925;815;2360;315;45;10;20;15;220;100;9;125;11;5050;1780;1780;1500;2.1;407;5277;187;84;16;94;6;64;35;26;9;1;82;18;2800;2030;2560;2630;2900;3650;2140;3180;1340;710;1180;1290;1460;1990;950;1580;.;8600;30.1;24.7;40;19.7;57.8;38.3;19.3;5.2;5;130;490;210;2680;760;55;85;245;50;85;130;110;5835;1740;4090;4960;870;1.2;222;465;360;1.2;1.1;0.8;0.9;4.2;2709;2626;83;.;.;4;803;8400;30.5;24.6;39.5;19.9;58;38.3;19.4;7;6.3
WK067702;67702;Wijk 02 St. Jansteen;Hulst;Wijk;WK067702;1;3130;1565;1565;460;300;690;1040;640;1225;1480;255;175;780;95;15;0;0;15;60;30;9;30;10;1400;430;505;470;2.2;379;1448;182;93;7;95;5;74;26;20;6;0;96;4;2940;2210;2460;2700;2860;3510;2240;3190;1510;970;1130;1320;1470;1940;1170;1630;.;2500;30.9;25.2;40;18.7;60;33.7;21.1;5.6;5.6;60;170;80;630;150;15;20;40;15;15;20;25;1740;535;1205;1495;250;1.2;211;140;125;0.7;0.6;0.6;0.8;2.4;827;826;1;.;.;5;475;2500;30.4;24.5;40.8;19.1;60.2;36.2;21.8;8;6.7
WK067703;67703;Wijk 03 Clinge;Hulst;Wijk;WK067703;1;2380;1215;1165;285;270;490;835;505;1050;1050;145;140;865;50;5;0;5;5;30;20;8;30;12;990;300;340;350;2.2;226;1064;173;96;4;93;7;75;24;13;11;1;92;8;3030;2260;2390;2590;2930;3520;2250;3250;1660;950;1290;1450;1610;1940;1500;1710;.;1800;27.6;22.7;42.2;16.5;59.7;35.7;19.3;5.5;5.6;20;260;60;490;135;15;35;35;10;5;15;20;1240;330;905;1020;215;1.2;118;130;135;0.7;3.1;0.8;0.8;1.1;1059;1053;6;.;.;5;284;1800;27.8;22.6;43;17;59.4;38.1;19;8.5;8.5
WK067704;67704;Wijk 04 Grauw;Hulst;Wijk;WK067704;1;960;505;455;130;90;205;320;220;375;485;60;45;265;5;0;0;0;0;0;5;6;5;8;435;130;180;130;2.2;41;534;160;99;1;81;19;78;21;9;13;0;93;7;2670;.;1990;2490;2470;2900;1580;2970;1520;.;1040;1290;1490;1650;1050;1650;.;800;29.5;23.7;38.1;20;61.5;34.9;22.2;4.2;3.7;0;40;20;210;95;35;10;20;10;5;10;10;540;150;390;430;110;1.2;23;90;45;6.2;6.4;1.2;1.1;0.9;2356;2330;26;.;.;5;79;800;29.4;23.4;38.7;19.2;60.1;37.5;21.2;6.3;4.8
WK067705;67705;Wijk 05 Heikant;Hulst;Wijk;WK067705;1;1140;565;570;170;110;245;400;215;420;575;85;60;310;20;5;0;0;0;10;10;7;10;8;495;120;200;180;2.3;174;510;242;100;0;95;5;82;18;10;8;0;88;12;3270;.;2070;2520;2970;3500;2370;3460;1790;.;1030;1280;1800;1900;1430;1870;.;900;30.5;24.4;38.2;22.8;61.3;28.1;24.8;4.9;4.3;10;40;20;210;100;15;10;20;5;10;20;15;660;195;465;560;105;1.3;101;80;45;2.9;2.5;2.3;0.8;1.8;658;657;1;.;.;5;122;900;31.2;24.4;38.2;22.9;60.1;30.5;26.4;6.1;5.2
WK067706;67706;Wijk 06 Nieuw Namen;Hulst;Wijk;WK067706;1;1025;510;510;165;95;250;315;200;415;485;80;55;640;30;0;0;0;0;30;10;10;5;4;445;130;155;165;2.3;21;509;175;97;3;88;12;80;20;9;11;1;89;11;3510;4190;2950;3150;3200;3910;2640;3710;1730;1700;1660;1640;1680;1800;1420;1790;.;700;33.3;24.5;33.2;21.4;60.3;33;20.1;4.4;4.2;10;20;10;190;80;25;15;15;5;0;10;5;520;140;380;410;110;1.2;10;75;45;6.9;9;0.9;0.9;0.9;5005;4967;38;.;.;5;122;700;32.5;24;34.8;21.4;59.6;33.9;19.3;6.7;6
WK067707;67707;Wijk 07 Kapellebrug;Hulst;Wijk;WK067707;1;345;190;150;45;30;85;115;75;140;165;30;15;130;5;0;0;0;0;5;0;8;5;11;155;50;60;50;2.2;539;137;238;99;1;96;4;87;12;0;12;1;91;9;3590;.;.;.;3740;3570;2900;3600;1810;.;.;.;1670;1810;2000;1790;.;300;30;24.1;40.8;21.4;57.3;33.6;26.6;4.5;3;0;10;10;70;40;0;10;15;5;5;5;5;240;45;195;180;60;1.5;375;50;30;1.8;0.3;1.6;1.7;1.1;64;64;0;.;.;5;114;300;29.7;24.1;41.2;22.3;60.7;38;26.8;7.2;5.6
WK067708;67708;Wijk 08 Kloosterzande;Hulst;Wijk;WK067708;1;3325;1625;1700;455;290;660;1040;880;1260;1535;230;310;370;60;0;5;0;5;50;15;4;45;14;1495;475;560;465;2.2;245;1644;166;92;8;94;6;70;26;18;9;4;90;10;2850;2390;2340;2410;2880;3290;2130;3110;1410;990;1150;1320;1380;1700;1170;1550;.;2600;28;22.9;41.6;17;56.9;36.4;18.2;4.5;3.7;20;160;70;870;215;30;40;50;25;20;25;30;1795;500;1295;1505;295;1.2;132;315;125;0.8;0.9;0.8;1;1.2;1365;1360;4;.;.;5;387;2600;28;22.6;42;17.3;57.4;38.4;19.2;5.8;5.1
WK067709;67709;Wijk 09 Lamswaarde;Hulst;Wijk;WK067709;1;915;475;440;135;90;215;325;150;385;435;65;35;165;30;5;0;0;0;20;5;7;10;9;405;115;165;130;2.3;63;447;181;99;1;89;11;84;16;7;9;0;89;11;3100;.;2070;2480;3050;3290;2200;3270;1670;.;1220;1570;1580;1730;1520;1700;.;700;30.4;24.6;35;19.3;66.7;30.5;22.3;4;3.4;10;30;20;150;90;30;10;20;5;5;15;10;545;145;405;450;95;1.4;38;85;45;5.3;5.3;4.7;1.3;0.9;1466;1455;11;.;.;5;62;700;30.8;24.2;36.3;19.3;67.5;33.5;22.2;5.7;4.6
WK067710;67710;Wijk 10 Ter Hole;Hulst;Wijk;WK067710;1;500;260;240;65;50;110;180;95;200;250;35;20;100;5;0;0;0;0;0;5;7;0;5;230;85;80;75;2.1;91;235;171;98;2;91;9;83;16;12;4;0;94;6;2890;.;2110;2790;2750;3090;2110;3030;1610;.;1130;1520;1440;1760;1290;1670;.;400;30;24.7;40.3;18.1;57.3;37.8;24.4;8.2;5.9;10;30;20;90;35;10;5;5;5;0;5;5;305;85;220;255;50;1.3;55;20;25;3.7;4.4;3.6;3.9;0.1;553;551;1;.;.;5;52;400;28.1;23.1;41.3;18.3;58.5;42.5;23.5;9.6;7.2
