Lijst no;Naam;Partij;ST1;ST2;ST3;ST4;ST5;ST6;ST 7;ST8;ST9;ST10;ST11;ST12;ST13;ST14;ST15;Totaal;Jaar;Woonplaats;Lid;Wethouder
1;Hageman, J.P.E.M;ABGH;141;70;130;91;77;15;28;90;23;127;21;21;302;13;58;1207;2018;Vogelwaarde;0;1
2;Roctus, R.A.J.;ABGH;29;12;16;34;19;10;16;20;15;181;23;5;33;35;19;467;2018;Kloosterzande;1;0
3;Depauw, G.F.A;ABGH;28;27;34;21;5;3;13;12;6;128;13;4;14;38;4;350;2018;Walsoorden;1;0
4;Maas, A.J.;ABGH;15;10;1;10;0;1;2;7;16;60;31;4;15;3;8;183;2018;Lamswaarde;1;0
5;Dobbelaer, A.T.M.;ABGH;9;11;16;8;5;3;5;106;23;0;1;0;2;0;0;189;2018;Sint Jansteen;1;0
6;Broekaart, M.P.W.E;ABGH;11;5;11;6;1;0;2;12;1;93;8;1;15;0;3;169;2018;Kloosterzande;0;0
7;Strooband-de Moor, M.M.;ABGH;24;15;19;15;44;5;0;9;6;1;1;2;4;1;1;147;2018;Clinge;1;0
8;Fokker, A.;ABGH;0;0;0;4;1;0;1;1;0;2;1;0;4;7;0;21;2018;Walsoorden;0;0
9;Buijsrogge, J.E.M.;ABGH;0;8;6;1;1;0;34;4;0;1;0;1;0;0;0;56;2018;Graauw;0;0
10;Eckhardt, M.D.;ABGH;1;1;2;0;2;0;1;0;0;4;1;1;8;0;2;23;2018;Vogelwaarde;0;0
11;Vinke, J.;ABGH;5;4;8;8;1;1;0;1;0;4;0;0;1;0;0;33;2018;Hulst;0;0
12;de Kind, E.C.M.A.;ABGH;2;4;1;1;3;0;0;29;0;1;0;0;0;0;0;41;2018;Sint Jansteen;0;0
13;van Dorsselaer, D.M.M.;ABGH;24;10;13;12;0;0;0;3;1;0;0;0;2;2;0;67;2018;Hulst;0;0
14;Roelands, J.;ABGH;5;2;3;6;1;3;2;1;0;12;2;0;3;0;2;42;2018;Kloosterzande;0;0
15;de Waal, D.G.E.M.H;ABGH;3;0;4;5;0;50;0;0;1;15;0;0;2;4;13;97;2018;Nieuw-Namen;0;0
16;Schuren, W.A.E.;ABGH;0;2;0;0;3;0;0;0;0;0;1;0;13;0;0;19;2018;Vogelwaarde;0;0
17;de Theije-Michielsen, J.M.P.;ABGH;3;0;2;1;7;0;0;0;0;3;7;4;1;1;0;29;2018;Kuitaart;0;0
